emp_no,salary
92638,40894
92639,68546
92640,4
92641,63831
92642,4
92643,4
92644,4
92645,6189
92646,66314
92647,4
92648,90141
92649,61905
92650,41411
92651,67922
92652,4
92653,43294
92654,48974
92655,47049
92656,42607
92657,65386
92658,42962
92659,56101
92660,4
92661,4
92662,4
92663,5149
92664,5255
92665,4
92666,41521
92667,75466
92668,52983
92669,45837
92670,4
92671,74732
92672,52813
92673,75138
92674,4
92675,47044
92676,4
92677,10244
92678,65301
92679,73635
92680,58271
92681,4
92682,42956
92683,4
92684,43008
92685,55634
92686,51696
92687,8449
92688,794
92689,4
92690,52299
92691,63022
92692,66651
92693,65995
92694,4756
92695,44579
92696,46316
92697,65737
92698,57691
92699,59714
92700,61328
92701,4835
92702,52134
92703,77988
92704,4
92705,5051
92706,7443
92707,40092
92708,58888
92709,4
92710,62089
92711,4
92712,46055
92713,47021
92714,4
92715,4
92716,4
92717,41382
92718,57471
92719,4
92720,59377
92721,67893
92722,54279
92723,4
92724,6191
92725,4
92726,98696
92727,7215
92728,4
92729,41725
92730,6761
92731,4
92732,55484
92733,5972
92734,4
92735,47442
92736,83273
92737,58855
92738,47663
92739,55919
92740,47611
92741,57417
92742,54093
92743,4
92744,54981
92745,4
92746,4
92747,68774
92748,45997
92749,72556
92750,47304
92751,42662
92752,4
92753,70504
92754,89084
92755,62224
92756,59884
92757,59745
92758,42272
92759,43075
92760,4
92761,48369
92762,47452
92763,4
92764,4
92765,4
92766,6912
92767,4
92768,94462
92769,4
92770,46554
92771,46522
92772,51724
92773,83199
92774,58196
92775,55939
92776,74897
92777,58074
92778,4
92779,4
92780,4
92781,42811
92782,50246
92783,4
92784,52406
92785,4
92786,61233
92787,4
92788,56388
92789,64409
92790,4
92791,4
92792,68638
92793,47803
92794,53292
92795,45148
92796,43935
92797,70839
92798,59958
92799,4
92800,4
92801,46452
92802,76564
92803,72408
92804,77612
92805,60256
92806,95442
92807,43668
92808,4
92809,68392
92810,86994
92811,83714
92812,4
92813,4
92814,454
92815,69279
92816,67759
92817,4
92818,54072
92819,4
92820,53961
92821,47254
92822,57702
92823,46532
92824,54264
92825,74453
92826,54152
92827,4
92828,54407
92829,50087
92830,72363
92831,4
92832,50734
92833,47336
92834,65959
92835,56357
92836,43568
92837,90821
92838,4
92839,43679
92840,4
92841,78441
92842,4
92843,56459
92844,54565
92845,57028
92846,44033
92847,59015
92848,43027
92849,4
92850,4
92851,45494
92852,52361
92853,46683
92854,44683
92855,4
92856,40946
92857,71155
92858,56681
92859,41108
92860,45322
92861,72291
92862,4
92863,41285
92864,47554
92865,53702
92866,45201
92867,4
92868,42794
92869,4337
92870,47261
92871,72837
92872,4
92873,43392
92874,75333
92875,6709
92876,56495
92877,4
92878,78958
92879,49087
92880,52141
92881,61328
92882,48064
92883,57068
92884,4
92885,48166
92886,4
92887,55713
92888,4791
92889,4
92890,73939
92891,40959
92892,43468
92893,4
92894,61939
92895,4
92896,4
92897,4475
92898,6806
92899,46444
92900,92016
92901,49373
92902,79335
92903,54439
92904,7575
92905,56503
92906,82848
92907,78053
92908,47771
92909,4
92910,42844
92911,74767
92912,4
92913,86184
92914,47201
92915,90795
92916,53109
92917,56529
92918,73648
92919,41301
92920,4
92921,418
92922,74507
92923,47472
92924,53202
92925,4
92926,64653
92927,46851
92928,4
92929,4
92930,76247
92931,4669
92932,4
92933,93781
92934,4
92935,45855
92936,4
92937,6818
92938,55123
92939,43519
92940,4
92941,51527
92942,64584
92943,75192
92944,60868
92945,92271
92946,52852
92947,74553
92948,4
92949,4
92950,40386
92951,4
92952,57206
92953,43086
92954,4
92955,4
92956,64131
92957,4
92958,53421
92959,49541
92960,42247
92961,57513
92962,46673
92963,73271
92964,4
92965,56969
92966,67771
92967,80649
92968,4
92969,4
92970,71467
92971,4114
92972,41684
92973,4
92974,51005
92975,61522
92976,4
92977,67607
92978,4
92979,59861
92980,50216
92981,74454
92982,44768
92983,48444
92984,73023
92985,80345
92986,8404
92987,566
92988,40989
92989,74445
92990,49861
92991,51574
92992,71737
92993,45509
92994,44376
92995,643
92996,4
92997,4
92998,77964
92999,45902
93000,4
93001,70062
93002,68064
93003,42765
93004,4
93005,7852
93006,4
93007,7554
93008,40139
93009,45033
93010,56616
93011,46041
93012,4
93013,4
93014,4
93015,47605
93016,68599
93017,4
93018,72997
93019,48222
93020,44947
93021,4
93022,52521
93023,56751
93024,44742
93025,81603
93026,52466
93027,56811
93028,69276
93029,53454
93030,4
93031,72536
93032,4
93033,62886
93034,4
93035,60747
93036,45928
93037,51921
93038,68017
93039,58307
93040,56125
93041,4
93042,58519
93043,51763
93044,51529
93045,4
93046,4
93047,4
93048,54825
93049,45717
93050,6783
93051,4
93052,4
93053,62231
93054,84004
93055,44926
93056,53735
93057,69699
93058,78977
93059,43053
93060,4
93061,53754
93062,65886
93063,4
93064,4
93065,4
93066,52596
93067,7965
93068,4
93069,4
93070,40848
93071,4
93072,41803
93073,62339
93074,4
93075,4
93076,4
93077,51545
93078,47552
93079,4
93080,8835
93081,4
93082,59861
93083,4
93084,71828
93085,59899
93086,44885
93087,43443
93088,4
93089,66998
93090,46188
93091,53025
93092,50208
93093,49154
93094,77194
93095,45023
93096,4
93097,58501
93098,4
93099,54283
93100,4
93101,48993
93102,4
93103,4
93104,55391
93105,55975
93106,4
93107,43059
93108,4
93109,78236
93110,59863
93111,47421
93112,52733
93113,68548
93114,70058
93115,4
93116,42556
93117,4
93118,44265
93119,44989
93120,4
93121,4
93122,41476
93123,50787
93124,43026
93125,55345
93126,43563
93127,51046
93128,45683
93129,47077
93130,90388
93131,52401
93132,40469
93133,64355
93134,4
93135,4
93136,84059
93137,72479
93138,63056
93139,55039
93140,49355
93141,4
93142,42145
93143,43377
93144,48962
93145,50549
93146,51785
93147,49127
93148,4
93149,7275
93150,60559
93151,72295
93152,6126
93153,42382
93154,42565
93155,4
93156,87882
93157,4
93158,4
93159,46608
93160,55396
93161,81897
93162,49749
93163,41621
93164,52877
93165,80478
93166,42544
93167,47075
93168,44306
93169,44638
93170,40915
93171,52571
93172,82318
93173,66772
93174,61984
93175,70474
93176,58935
93177,53716
93178,4
93179,4
93180,4
93181,4
93182,59501
93183,47299
93184,54363
93185,85118
93186,43815
93187,81717
93188,43093
93189,43919
93190,4
93191,4
93192,85719
93193,4
93194,4
93195,4
93196,52232
93197,91424
93198,78429
93199,45471
93200,4
93201,4039
93202,59812
93203,45304
93204,91948
93205,62967
93206,51216
93207,53896
93208,8625
93209,40943
93210,47772
93211,92664
93212,7153
93213,4
93214,67458
93215,4
93216,4
93217,47547
93218,4772
93219,4
93220,47553
93221,50551
93222,4
93223,7412
93224,69126
93225,5266
93226,83055
93227,81203
93228,4
93229,51784
93230,4
93231,4
93232,4
93233,61498
93234,4
93235,5693
93236,59226
93237,41576
93238,5369
93239,50993
93240,4
93241,72731
93242,4
93243,59107
93244,4
93245,42481
93246,4
93247,4
93248,44634
93249,4
93250,40546
93251,4
93252,4
93253,4
93254,6345
93255,55032
93256,75879
93257,49887
93258,40013
93259,52324
93260,4
93261,44298
93262,4
93263,88184
93264,44198
93265,6468
93266,4
93267,65435
93268,4434
93269,4
93270,63119
93271,4
93272,4
93273,4
93274,51897
93275,78946
93276,78599
93277,56229
93278,49314
93279,65121
93280,47729
93281,54761
93282,81629
93283,4
93284,68124
93285,54225
93286,4
93287,44653
93288,56535
93289,45666
93290,4
93291,60896
93292,70468
93293,66122
93294,4
93295,48196
93296,64693
93297,62953
93298,49462
93299,65191
93300,52483
93301,4
93302,81383
93303,49859
93304,5874
93305,90723
93306,59495
93307,64895
93308,43615
93309,55878
93310,61865
93311,6687
93312,69438
93313,4
93314,4
93315,4
93316,53263
93317,42597
93318,4
93319,52489
93320,68324
93321,66526
93322,40652
93323,46205
93324,54827
93325,68696
93326,4
93327,4
93328,40195
93329,82724
93330,68242
93331,68704
93332,57923
93333,77051
93334,81928
93335,4
93336,47759
93337,4
93338,40648
93339,60236
93340,4
93341,40164
93342,58541
93343,4
93344,74129
93345,75997
93346,53396
93347,4567
93348,85837
93349,4
93350,78021
93351,45836
93352,86401
93353,4
93354,66098
93355,60807
93356,4
93357,64343
93358,54453
93359,62448
93360,56345
93361,48558
93362,44371
93363,79111
93364,66847
93365,4
93366,71579
93367,4
93368,67176
93369,40932
93370,70736
93371,91
93372,49529
93373,43885
93374,4
93375,43975
93376,48492
93377,41244
93378,50944
93379,40952
93380,76432
93381,49921
93382,55399
93383,81865
93384,75312
93385,4
93386,4
93387,85067
93388,46729
93389,48553
93390,59864
93391,4
93392,56348
93393,4
93394,4
93395,42756
93396,4
93397,58934
93398,4
93399,4
93400,46224
93401,41151
93402,4
93403,54828
93404,81533
93405,53039
93406,4
93407,4
93408,63362
93409,4
93410,4
93411,4
93412,62485
93413,4
93414,10553
93415,49939
93416,6993
93417,4837
93418,58285
93419,69172
93420,4
93421,4
93422,52497
93423,52647
93424,4
93425,4
93426,4
93427,4
93428,47326
93429,50552
93430,90656
93431,62222
93432,45841
93433,88427
93434,51479
93435,51433
93436,40779
93437,61116
93438,4
93439,47902
93440,41202
93441,89516
93442,4
93443,619
93444,44773
93445,4
93446,45659
93447,4
93448,4
93449,55777
93450,68059
93451,53522
93452,4
93453,69459
93454,41033
93455,59917
93456,57241
93457,5208
93458,4584
93459,4
93460,4355
93461,62022
93462,51735
93463,69936
93464,47478
93465,65907
93466,40998
93467,64274
93468,49528
93469,65952
93470,4
93471,56344
93472,4
93473,4
93474,4
93475,4
93476,4
93477,5987
93478,71997
93479,48594
93480,4
93481,72765
93482,51258
93483,4
93484,70787
93485,89177
93486,50007
93487,5777
93488,48548
93489,75597
93490,4
93491,4
93492,4
93493,4
93494,67535
93495,41835
93496,61306
93497,4
93498,6147
93499,49161
93500,4
93501,66411
93502,53847
93503,50704
93504,4
93505,4
93506,48144
93507,4
93508,45346
93509,4
93510,4
93511,4
93512,44544
93513,75907
93514,58026
93515,5204
93516,67289
93517,4
93518,6258
93519,5852
93520,43894
93521,4
93522,4
93523,4
93524,4
93525,93708
93526,4
93527,62319
93528,73228
93529,45287
93530,57289
93531,4
93532,55309
93533,57883
93534,70134
93535,43146
93536,54589
93537,4
93538,4
93539,73867
93540,4
93541,4
93542,4
93543,42174
93544,47125
93545,59565
93546,4
93547,4
93548,4
93549,81468
93550,4
93551,7244
93552,55113
93553,66269
93554,44103
93555,8435
93556,4
93557,41729
93558,4
93559,69469
93560,4
93561,80036
93562,48923
93563,66687
93564,4
93565,42198
93566,52227
93567,51708
93568,45648
93569,4
93570,4
93571,8394
93572,4
93573,62253
93574,67832
93575,54623
93576,70898
93577,4
93578,43218
93579,4
93580,63312
93581,4
93582,67872
93583,4
93584,4
93585,54748
93586,4
93587,54355
93588,90245
93589,4
93590,41986
93591,4
93592,47796
93593,60468
93594,46584
93595,46573
93596,87855
93597,5689
93598,4
93599,5055
93600,4
93601,47561
93602,57353
93603,4
93604,4
93605,4
93606,6338
93607,49984
93608,52416
93609,4
93610,69281
93611,47845
93612,55556
93613,72752
93614,448
93615,47818
93616,66376
93617,73886
93618,10072
93619,46555
93620,4
93621,4
93622,4
93623,91275
93624,45873
93625,57454
93626,5031
93627,50445
93628,4
93629,40029
93630,50571
93631,4
93632,54509
93633,68463
93634,5304
93635,64318
93636,43982
93637,4
93638,49762
93639,10014
93640,9118
93641,41587
93642,4
93643,4
93644,4
93645,47724
93646,4
93647,5056
93648,47686
93649,62408
93650,40397
93651,4
93652,4
93653,4
93654,4
93655,62287
93656,48879
93657,56007
93658,51818
93659,46188
93660,4
93661,48486
93662,69541
93663,65549
93664,4
93665,45088
93666,65118
93667,71991
93668,80892
93669,7014
93670,54647
93671,98171
93672,4
93673,54069
93674,65642
93675,4
93676,49555
93677,54363
93678,4
93679,4
93680,4
93681,87145
93682,40408
93683,40087
93684,4
93685,61702
93686,4
93687,88211
93688,48596
93689,43979
93690,67205
93691,61072
93692,4
93693,4
93694,4
93695,4
93696,46403
93697,72744
93698,56973
93699,59337
93700,4
93701,4
93702,4
93703,62992
93704,4
93705,49178
93706,58487
93707,4
93708,43858
93709,4
93710,50498
93711,59442
93712,47761
93713,4
93714,4
93715,67915
93716,52179
93717,4
93718,4
93719,49886
93720,45718
93721,50876
93722,5835
93723,64722
93724,55666
93725,44793
93726,51142
93727,4
93728,48763
93729,4
93730,57937
93731,4
93732,50901
93733,4
93734,60324
93735,51788
93736,4
93737,4
93738,64873
93739,53291
93740,4
93741,4
93742,65129
93743,4
93744,4
93745,41972
93746,68005
93747,54442
93748,4
93749,74792
93750,55627
93751,4
93752,4
93753,53186
93754,51626
93755,4
93756,79552
93757,45107
93758,44169
93759,78606
93760,45209
93761,42307
93762,42876
93763,82505
93764,53716
93765,53356
93766,4
93767,4
93768,47731
93769,64453
93770,4604
93771,4
93772,67932
93773,44634
93774,4
93775,4
93776,79682
93777,47139
93778,41371
93779,89463
93780,4
93781,56551
93782,4
93783,6549
93784,53088
93785,45564
93786,54745
93787,70413
93788,5429
93789,4
93790,4
93791,4
93792,64283
93793,47841
93794,40245
93795,4
93796,46673
93797,4
93798,68796
93799,4
93800,4
93801,92496
93802,4091
93803,4
93804,4
93805,4
93806,58146
93807,44198
93808,4
93809,4
93810,40567
93811,44747
93812,57748
93813,66154
93814,4
93815,4
93816,5693
93817,4
93818,44415
93819,50059
93820,4
93821,4
93822,4
93823,7555
93824,69448
93825,83974
93826,4
93827,89408
93828,4
93829,55041
93830,56854
93831,46586
93832,73227
93833,4
93834,52529
93835,49962
93836,5577
93837,8985
93838,43209
93839,71129
93840,55738
93841,50429
93842,77981
93843,61585
93844,83108
93845,49464
93846,44861
93847,62721
93848,63566
93849,4
93850,87562
93851,4
93852,69825
93853,4
93854,4
93855,71552
93856,66155
93857,77663
93858,72068
93859,4
93860,4
93861,65501
93862,57463
93863,51474
93864,4
93865,41761
93866,4
93867,56252
93868,454
93869,42219
93870,4223
93871,89503
93872,57822
93873,6809
93874,44108
93875,52394
93876,64324
93877,88021
93878,71524
93879,54885
93880,83677
93881,56035
93882,58192
93883,47888
93884,57658
93885,4
93886,45987
93887,4
93888,50225
93889,5004
93890,62159
93891,4
93892,44431
93893,4
93894,61425
93895,52341
93896,4
93897,4
93898,41273
93899,53564
93900,84362
93901,61026
93902,4
93903,57173
93904,4
93905,7025
93906,71067
93907,4
93908,63123
93909,56587
93910,4
93911,4
93912,53111
93913,77088
93914,45977
93915,4
93916,5304
93917,4
93918,93797
93919,46662
93920,78921
93921,51567
93922,4
93923,4
93924,61374
93925,4
93926,67719
93927,4
93928,97546
93929,72885
93930,4
93931,75567
93932,67638
93933,4
93934,47982
93935,61605
93936,65243
93937,73675
93938,11795
93939,4
93940,4
93941,75628
93942,4
93943,58572
93944,48246
93945,46876
93946,50446
93947,40553
93948,69433
93949,45033
93950,41556
93951,78008
93952,63455
93953,4
93954,4
93955,4
93956,84702
93957,4
93958,4
93959,66101
93960,79786
93961,80909
93962,8766
93963,4
93964,4744
93965,72295
93966,65602
93967,45436
93968,40391
93969,41914
93970,56959
93971,62229
93972,4051
93973,73738
93974,46028
93975,50598
93976,43871
93977,4
93978,4
93979,50952
93980,75757
93981,50269
93982,42755
93983,4
93984,4
93985,4
93986,7408
93987,62118
93988,52117
93989,76537
93990,76782
93991,41795
93992,4
93993,7297
93994,5691
93995,4
93996,4
93997,58551
93998,45873
93999,4
94000,57066
94001,4
94002,41216
94003,43698
94004,4
94005,59364
94006,4
94007,44434
94008,71411
94009,58533
94010,41194
94011,4818
94012,52478
94013,61465
94014,45666
94015,4
94016,4
94017,5217
94018,51343
94019,84031
94020,4
94021,58591
94022,4
94023,4
94024,4
94025,51699
94026,40243
94027,4
94028,58868
94029,4
94030,4
94031,4
94032,49006
94033,4
94034,4
94035,4
94036,60659
94037,86999
94038,10087
94039,66111
94040,62535
94041,45197
94042,76816
94043,4
94044,57549
94045,49858
94046,63968
94047,68025
94048,69271
94049,86786
94050,4
94051,43423
94052,80699
94053,51022
94054,56875
94055,4
94056,4
94057,4
94058,58882
94059,86407
94060,58454
94061,781
94062,4
94063,75829
94064,4
94065,40808
94066,50261
94067,4
94068,84337
94069,4
94070,53287
94071,6719
94072,42495
94073,78037
94074,4
94075,4
94076,54975
94077,49165
94078,95615
94079,4
94080,54921
94081,55238
94082,7626
94083,50858
94084,60006
94085,72946
94086,4
94087,46456
94088,4
94089,45981
94090,52862
94091,4
94092,98071
94093,4
94094,4
94095,63887
94096,4
94097,4
94098,4
94099,4
94100,43185
94101,47221
94102,41168
94103,4
94104,45342
94105,63204
94106,54464
94107,4
94108,49811
94109,42081
94110,4
94111,58256
94112,8998
94113,4
94114,4
94115,63515
94116,54488
94117,60112
94118,4
94119,45817
94120,4
94121,4
94122,4717
94123,56783
94124,46002
94125,61031
94126,4531
94127,49095
94128,51632
94129,4
94130,47387
94131,45782
94132,83162
94133,7892
94134,6451
94135,52247
94136,64932
94137,44387
94138,59841
94139,76045
94140,67347
94141,5934
94142,52579
94143,4
94144,40001
94145,4
94146,4
94147,60189
94148,5001
94149,4
94150,81171
94151,46815
94152,60165
94153,65705
94154,4115
94155,65339
94156,5066
94157,4
94158,4
94159,65061
94160,53578
94161,47335
94162,4
94163,64005
94164,59615
94165,4
94166,4
94167,52663
94168,44032
94169,79855
94170,4
94171,66638
94172,74442
94173,4
94174,59754
94175,4
94176,51593
94177,6948
94178,8109
94179,4
94180,59702
94181,5043
94182,74892
94183,50458
94184,81878
94185,79057
94186,57953
94187,49862
94188,4
94189,65194
94190,4
94191,4
94192,84963
94193,4
94194,60171
94195,4
94196,44433
94197,91693
94198,58872
94199,4
94200,56983
94201,5701
94202,74279
94203,59502
94204,4
94205,57073
94206,57305
94207,64249
94208,56654
94209,4
94210,61007
94211,41359
94212,70467
94213,62694
94214,47947
94215,52759
94216,42169
94217,4
94218,4894
94219,63036
94220,54527
94221,47865
94222,62981
94223,4
94224,4945
94225,74286
94226,45331
94227,79254
94228,54733
94229,59707
94230,76592
94231,50596
94232,4
94233,83809
94234,78479
94235,62342
94236,40375
94237,4
94238,7448
94239,4
94240,70422
94241,52637
94242,59119
94243,60157
94244,82569
94245,5544
94246,46777
94247,4
94248,67101
94249,50318
94250,70819
94251,42964
94252,49165
94253,72501
94254,66862
94255,4
94256,4
94257,7244
94258,4
94259,48651
94260,6363
94261,51579
94262,57819
94263,54429
94264,4
94265,4
94266,4003
94267,6177
94268,4
94269,4
94270,47324
94271,4
94272,42584
94273,72485
94274,69313
94275,47375
94276,4018
94277,78087
94278,47569
94279,59186
94280,52228
94281,4
94282,68911
94283,41676
94284,41687
94285,4
94286,83234
94287,56942
94288,40168
94289,48877
94290,4
94291,58026
94292,48891
94293,4
94294,76087
94295,4
94296,53947
94297,47767
94298,50423
94299,4
94300,4
94301,4
94302,50982
94303,45912
94304,4
94305,53015
94306,43122
94307,41222
94308,69837
94309,58503
94310,5407
94311,4
94312,50837
94313,4
94314,60322
94315,4
94316,52981
94317,46966
94318,4
94319,97645
94320,4
94321,4
94322,55093
94323,49033
94324,46265
94325,56599
94326,4779
94327,4
94328,43283
94329,4
94330,493
94331,4
94332,70419
94333,48154
94334,83146
94335,4
94336,63334
94337,72742
94338,55142
94339,4
94340,59514
94341,43773
94342,4
94343,51403
94344,44036
94345,4
94346,52531
94347,66141
94348,61603
94349,5094
94350,4
94351,4
94352,60169
94353,71614
94354,43522
94355,4
94356,4
94357,70016
94358,58974
94359,6943
94360,40712
94361,4
94362,4
94363,45126
94364,4
94365,70725
94366,4584
94367,53983
94368,4121
94369,47454
94370,54726
94371,4
94372,4
94373,4
94374,70655
94375,87307
94376,4
94377,4
94378,50059
94379,44187
94380,65147
94381,51521
94382,53029
94383,55391
94384,67029
94385,61758
94386,45946
94387,55834
94388,48919
94389,85966
94390,4
94391,4
94392,4
94393,48706
94394,65357
94395,40921
94396,70765
94397,4
94398,45947
94399,51007
94400,64081
94401,64372
94402,65902
94403,4
94404,55113
94405,56322
94406,4
94407,54861
94408,51393
94409,5647
94410,58035
94411,40687
94412,4
94413,4983
94414,4
94415,61155
94416,61048
94417,65488
94418,4
94419,4
94420,76538
94421,65232
94422,59735
94423,4
94424,44145
94425,69211
94426,85729
94427,73632
94428,86858
94429,87733
94430,4
94431,42094
94432,68816
94433,4
94434,81828
94435,4
94436,4
94437,4
94438,4
94439,4
94440,79672
94441,4
94442,6928
94443,69504
94444,4
94445,4
94446,54816
94447,4
94448,46272
94449,71384
94450,45618
94451,53303
94452,4
94453,65075
94454,57741
94455,5367
94456,40499
94457,45247
94458,65706
94459,67901
94460,47176
94461,61807
94462,64764
94463,4
94464,4
94465,4
94466,73827
94467,4
94468,61544
94469,50405
94470,57538
94471,66335
94472,54153
94473,4
94474,4
94475,47179
94476,4
94477,8037
94478,46138
94479,4
94480,46941
94481,57744
94482,4
94483,4416
94484,77697
94485,4
94486,4
94487,4
94488,4
94489,84507
94490,4
94491,4
94492,71242
94493,48084
94494,4
94495,48393
94496,40414
94497,75766
94498,58667
94499,41815
94500,4
94501,6993
94502,57142
94503,4
94504,40231
94505,55876
94506,48689
94507,4
94508,46379
94509,46071
94510,4
94511,45673
94512,4
94513,41819
94514,4
94515,4
94516,57736
94517,445
94518,44375
94519,4339
94520,4
94521,57799
94522,66207
94523,40546
94524,84538
94525,4
94526,57454
94527,4
94528,58778
94529,4
94530,66381
94531,49858
94532,66609
94533,6089
94534,9147
94535,44053
94536,70715
94537,4
94538,76639
94539,4
94540,4
94541,4378
94542,46336
94543,42869
94544,4
94545,51032
94546,58081
94547,42196
94548,74174
94549,46018
94550,64248
94551,6088
94552,51599
94553,70419
94554,4
94555,48372
94556,4
94557,61002
94558,4
94559,60987
94560,49441
94561,67457
94562,4
94563,4
94564,65404
94565,73039
94566,74605
94567,4
94568,4
94569,4
94570,62702
94571,4
94572,75732
94573,42181
94574,41871
94575,4
94576,61203
94577,44564
94578,4
94579,4
94580,4
94581,69601
94582,56843
94583,47476
94584,77984
94585,56521
94586,4
94587,75558
94588,68039
94589,4
94590,55663
94591,70456
94592,52369
94593,4722
94594,4
94595,87049
94596,45491
94597,46074
94598,6573
94599,41568
94600,4
94601,6071
94602,54555
94603,46637
94604,5204
94605,48742
94606,67274
94607,42247
94608,52957
94609,62062
94610,93216
94611,4
94612,4
94613,65194
94614,68123
94615,46985
94616,65504
94617,78547
94618,64217
94619,40462
94620,48992
94621,69639
94622,40641
94623,4
94624,55674
94625,4682
94626,47241
94627,53758
94628,56251
94629,59154
94630,56119
94631,4
94632,60789
94633,4
94634,4
94635,4
94636,10416
94637,67951
94638,73804
94639,88264
94640,57613
94641,69571
94642,79704
94643,4
94644,4
94645,61087
94646,48339
94647,73281
94648,4
94649,47507
94650,79033
94651,52243
94652,65311
94653,4
94654,42668
94655,4
94656,88249
94657,47918
94658,93862
94659,90225
94660,60616
94661,55097
94662,4
94663,49488
94664,4
94665,52641
94666,59634
94667,4
94668,56137
94669,4
94670,4365
94671,40922
94672,4
94673,78936
94674,40705
94675,4
94676,4
94677,5517
94678,4
94679,4
94680,49933
94681,45741
94682,4
94683,4
94684,48058
94685,57333
94686,54935
94687,4
94688,4
94689,4
94690,62057
94691,4384
94692,74983
94693,64962
94694,56859
94695,79577
94696,60084
94697,4
94698,4
94699,41341
94700,61283
94701,60937
94702,7169
94703,57859
94704,43336
94705,74167
94706,56545
94707,45092
94708,56742
94709,4
94710,79794
94711,42068
94712,4
94713,57806
94714,4
94715,792
94716,69133
94717,5097
94718,55541
94719,4
94720,45001
94721,4
94722,59057
94723,4
94724,74142
94725,4
94726,63269
94727,55753
94728,82484
94729,4
94730,5659
94731,4
94732,40673
94733,50389
94734,70247
94735,45032
94736,4
94737,4
94738,54799
94739,611
94740,40236
94741,5006
94742,4
94743,51818
94744,56472
94745,4
94746,71723
94747,70579
94748,45542
94749,85695
94750,4
94751,4
94752,71001
94753,58473
94754,67951
94755,78858
94756,47392
94757,72178
94758,4
94759,70915
94760,89744
94761,48772
94762,4
94763,48169
94764,42301
94765,50177
94766,4
94767,8018
94768,60128
94769,41393
94770,87953
94771,54362
94772,4
94773,42936
94774,4
94775,7775
94776,4
94777,7653
94778,70313
94779,4
94780,41515
94781,4
94782,55672
94783,53131
94784,4
94785,5645
94786,4
94787,41967
94788,4292
94789,4
94790,60291
94791,68164
94792,43811
94793,79748
94794,4
94795,4
94796,4
94797,43839
94798,4
94799,4
94800,54964
94801,54877
94802,46529
94803,44537
94804,61434
94805,79708
94806,6258
94807,48677
94808,48139
94809,4
94810,64508
94811,4
94812,5957
94813,51169
94814,71682
94815,46691
94816,4
94817,7535
94818,62747
94819,4
94820,4
94821,4
94822,64435
94823,4
94824,4
94825,4
94826,46892
94827,4
94828,4
94829,54262
94830,48523
94831,4
94832,82681
94833,74499
94834,65721
94835,4
94836,75519
94837,55994
94838,56605
94839,70251
94840,59478
94841,51742
94842,9051
94843,4
94844,71824
94845,4
94846,62639
94847,88205
94848,4
94849,74677
94850,45661
94851,4
94852,46898
94853,61795
94854,54225
94855,46337
94856,4
94857,4
94858,49656
94859,66404
94860,4
94861,64025
94862,4
94863,64068
94864,55708
94865,4
94866,51042
94867,51827
94868,4
94869,40023
94870,4
94871,94395
94872,4
94873,4
94874,71749
94875,63818
94876,71398
94877,71238
94878,4
94879,4
94880,4604
94881,76628
94882,4
94883,43965
94884,49191
94885,41658
94886,4
94887,57856
94888,4
94889,60806
94890,70621
94891,4
94892,62528
94893,44312
94894,52307
94895,45487
94896,4
94897,4
94898,40849
94899,4
94900,4
94901,79666
94902,52144
94903,53942
94904,4
94905,42772
94906,40912
94907,65501
94908,4866
94909,97408
94910,4
94911,624
94912,76694
94913,4
94914,88459
94915,4
94916,5266
94917,4
94918,4
94919,4
94920,4
94921,4
94922,66493
94923,48782
94924,58454
94925,4
94926,56251
94927,57692
94928,73175
94929,4
94930,53808
94931,4
94932,65028
94933,51436
94934,47605
94935,66082
94936,53749
94937,66205
94938,4
94939,46987
94940,4
94941,57323
94942,43677
94943,81817
94944,57985
94945,4
94946,52322
94947,4
94948,56086
94949,5614
94950,4
94951,75066
94952,51882
94953,49238
94954,43168
94955,40786
94956,4
94957,44504
94958,54598
94959,4
94960,4
94961,55282
94962,78459
94963,50581
94964,68344
94965,47827
94966,42412
94967,78022
94968,52759
94969,4
94970,4
94971,57365
94972,4
94973,48251
94974,4
94975,4
94976,4
94977,72646
94978,4
94979,71028
94980,56189
94981,4
94982,59158
94983,7356
94984,46547
94985,51774
94986,49537
94987,40793
94988,4
94989,47668
94990,7498
94991,4
94992,4
94993,48302
94994,41798
94995,68958
94996,48325
94997,4
94998,4
94999,4
95000,44372
95001,63565
95002,42073
95003,4
95004,4
95005,4
95006,61246
95007,4
95008,4
95009,4
95010,704
95011,4
95012,4
95013,54238
95014,4
95015,72966
95016,4
95017,52274
95018,86294
95019,62217
95020,4
95021,48668
95022,64342
95023,42085
95024,56635
95025,4461
95026,5822
95027,4
95028,4
95029,60477
95030,79154
95031,4
95032,50446
95033,63851
95034,6608
95035,59753
95036,7352
95037,49219
95038,4
95039,40257
95040,4
95041,4
95042,95044
95043,54725
95044,4
95045,42019
95046,62929
95047,4
95048,4
95049,55134
95050,4
95051,5173
95052,41876
95053,61737
95054,4491
95055,4
95056,4
95057,41817
95058,58665
95059,4
95060,54594
95061,70803
95062,42755
95063,47917
95064,46727
95065,67091
95066,4
95067,68069
95068,4
95069,4
95070,45266
95071,71327
95072,4
95073,4
95074,59982
95075,4
95076,46938
95077,4
95078,40233
95079,4601
95080,65267
95081,40832
95082,84639
95083,51787
95084,47895
95085,59923
95086,61171
95087,68159
95088,47076
95089,4
95090,73992
95091,45297
95092,65293
95093,48978
95094,67696
95095,48877
95096,53135
95097,4
95098,60704
